Código;Ação;Qtde. Teórica;Part. (%)
NGRD3;NEOGRID;108.100.000;0,023
ODPV3;ODONTOPREV;263.448.316;0,125
OMGE3;OMEGA GER;122.249.557;0,169
PCAR3;P.ACUCAR-CBD;156.928.631;0,221
PETR3;PETROBRAS;3.684.060.179;4,071
PETR4;PETROBRAS;4.566.457.037;4,903
BRDT3;PETROBRAS BR;1.164.958.126;1,134
PRIO3;PETRORIO;807.220.415;0,574
PETZ3;PETZ;261.956.811;0,246
PSSA3;PORTO SEGURO;93.637.072;0,183
PTBL3;PORTOBELLO;69.996.578;0,045
POSI3;POSITIVO TEC;78.616.498;0,035
QUAL3;QUALICORP;283.467.789;0,299
LJQQ3;QUERO-QUERO;177.734.774;0,149
RADL3;RAIADROGASIL;1.072.645.150;0,967
RAPT4;RANDON PART;177.421.406;0,088
RDOR3;REDE D OR;903.127.590;2,275
RAIL3;RUMO S.A.;1.218.081.171;0,851
SBSP3;SABESP;339.999.111;0,454
SAPR4;SANEPAR;203.503.821;0,03
SAPR11;SANEPAR;200.991.234;0,149
STBP3;SANTOS BRP;857.995.211;0,283
SMTO3;SAO MARTINHO;143.032.073;0,188
SEQL3;SEQUOIA LOG;109.785.229;0,113
SEER3;SER EDUCA;54.346.207;0,037
SIMH3;SIMPAR;85.662.375;0,174
SQIA3;SINQIA;58.702.058;0,053
SLCE3;SLC AGRICOLA;86.086.214;0,161
SULA11;SUL AMERICA;284.566.116;0,361
SUZB3;SUZANO S.A.;724.921.241;1,582
TAEE11;TAESA;218.568.274;0,294
TASA4;TAURUS ARMAS;48.884.169;0,042
TCSA3;TECNISA;54.501.246;0,017
TGMA3;TEGMA;32.001.480;0,028
TEND3;TENDA;96.408.761;0,088
TIMS3;TIM;808.485.985;0,34
TOTS3;TOTVS;480.228.410;0,66
TRPL4;TRAN PAULIST;395.797.044;0,362
TRIS3;TRISUL;78.643.944;0,028
TUPY3;TUPY;66.821.197;0,058
UGPA3;ULTRAPAR;1.085.987.426;0,729
USIM5;USIMINAS;513.796.208;0,358
VALE3;VALE;4.687.084.947;19,366
VLID3;VALID;78.582.401;0,032
VVAR3;VIAVAREJO;1.595.508.601;0,919
VIVA3;VIVARA S.A.;93.368.726;0,112
VULC3;VULCABRAS;74.685.291;0,027
WEGE3;WEG;1.482.296.002;1,822
WIZS3;WIZ S.A.;77.719.799;0,05
YDUQ3;YDUQS PART;300.483.575;0,359
