Código;Índice;Qtde Teórica;Part. (%)
MOVI3;IBrX 100;132113940;0.097
MRVE3;IBrX 100;293978672;0.178
MULT3;IBrX 100;245888754;0.215
NEOE3;IBrX 100;226098192;0.146
PCAR3;IBrX 100;156928631;0.226
PETR3;IBrX 100;3684060179;4.148
PETR4;IBrX 100;4566457037;4.996
BRDT3;IBrX 100;1164958126;1.155
PRIO3;IBrX 100;807220415;0.585
PSSA3;IBrX 100;93637072;0.186
QUAL3;IBrX 100;283467789;0.305
RADL3;IBrX 100;1072645150;0.985
RAPT4;IBrX 100;177421406;0.090
RAIL3;IBrX 100;1218081171;0.867
SBSP3;IBrX 100;339999111;0.462
SAPR11;IBrX 100;200991234;0.152
SANB11;IBrX 100;355642348;0.535
CSNA3;IBrX 100;642398790;1.051
SULA11;IBrX 100;284566116;0.368
SUZB3;IBrX 100;724921241;1.612
TAEE11;IBrX 100;218568274;0.300
VIVT3;IBrX 100;444219852;0.688
TIMS3;IBrX 100;808485985;0.347
TOTS3;IBrX 100;480228410;0.672
UGPA3;IBrX 100;1085987426;0.742
USIM5;IBrX 100;513796208;0.365
VALE3;IBrX 100;5130801424;21.601
VVAR3;IBrX 100;1595508601;0.937
WEGE3;IBrX 100;1482296002;1.856
YDUQ3;IBrX 100;300483575;0.367
RRRP3;IGC;259014576;0.243
ABCB4;IGC;105870633;0.034
AERI3;IGC;436117654;0.089
AESB3;IGC;299294570;0.086
ALSO3;IGC;254753610;0.153
AALR3;IGC;93432946;0.023
ALLD3;IGC;57012558;0.044
ALPA3;IGC;11390682;0.010
ALPA4;IGC;168770200;0.175
APER3;IGC;28817186;0.029
AVLL3;IGC;9335900;0.005
ALUP11;IGC;268455235;0.147
AMBP3;IGC;87466668;0.082
ANIM3;IGC;576865110;0.165
ARZZ3;IGC;90190942;0.176
ASAI3;IGC;313857262;0.561
AZUL4;IGC;490893924;0.445
BTOW3;IGC;403605764;0.553
B3SA3;IGC;12238868388;4.255
BMGB4;IGC;99052274;0.010
BIDI4;IGC;150358536;0.081
BIDI11;IGC;680447614;1.094
BPAN4;IGC;341124068;0.170
BRSR3;IGC;3839426;0.001
BRSR6;IGC;202531540;0.056
BBSE3;IGC;1343169682;0.641
BMOB3;IGC;176180636;0.085
BKBR3;IGC;544491518;0.134
BLAU3;IGC;350598156;0.361
SOJA3;IGC;80808080;0.026
BOAS3;IGC;1045785604;0.238
BBRK3;IGC;155468896;0.009
BRML3;IGC;1687457368;0.354
BRBI11;IGC;34125000;0.015
BRPR3;IGC;397625232;0.075
BBDC3;IGC;1253093907;0.566
BBDC4;IGC;4261649634;2.266
BRAP3;IGC;26906369;0.036
BRAP4;IGC;222604507;0.342
BBAS3;IGC;2566394442;1.704
AGRO3;IGC;103543064;0.064
BRKM3;IGC;12907077;0.016
BRKM5;IGC;264640575;0.326
BRFS3;IGC;1623519600;0.917
BPAC11;IGC;1562974764;0.986
CXSE3;IGC;900000000;0.243
CAML3;IGC;232529994;0.046
CRFB3;IGC;783517452;0.340
CCRO3;IGC;2231387112;0.620
CEAB3;IGC;212789270;0.063
CEDO3;IGC;2019831;0.000
CEDO4;IGC;3456367;0.001
CLSC4;IGC;34215223;0.048
CMIG3;IGC;266451715;0.080
CMIG4;IGC;1081211185;0.271
CESP3;IGC;7076043;0.004
CESP5;IGC;7386322;0.006
CESP6;IGC;182017689;0.090
HGTX3;IGC;252372816;0.178
CIEL3;IGC;2224393276;0.167
COGN3;IGC;3695989748;0.331
CSMG3;IGC;376889118;0.121
CPLE3;IGC;71640156;0.008
CPLE6;IGC;570829074;0.070
CSAN3;IGC;2338475488;1.158
CPFE3;IGC;375428498;0.209
CSED3;IGC;155510400;0.049
CMIN3;IGC;1800165217;0.341
CARD3;IGC;36435542;0.017
CURY3;IGC;209090908;0.044
CVCB3;IGC;451911302;0.259
CCPR3;IGC;118773972;0.029
CYRE3;IGC;562308196;0.272
DMVF3;IGC;47072410;0.009
DASA3;IGC;102570802;0.131
PNVL3;IGC;103289032;0.046
PNVL4;IGC;20228535;0.009
DIRR3;IGC;162720736;0.047
DOTZ3;IGC;67449304;0.019
DTEX3;IGC;547626894;0.269
ECOR3;IGC;345205540;0.085
ELET3;IGC;358018408;0.319
ELET6;IGC;242977127;0.218
ELMD3;IGC;101818400;0.038
EMBR3;IGC;1472286210;0.574
ENAT3;IGC;151879534;0.057
ENBR3;IGC;462978942;0.169
ENGI11;IGC;376019563;0.362
ENEV3;IGC;2517023240;0.883
EGIE3;IGC;509584558;0.412
ENJU3;IGC;335042994;0.071
EQTL3;IGC;2020572170;1.036
ESPA3;IGC;323104714;0.127
ALPK3;IGC;207421534;0.035
EUCA3;IGC;12765018;0.006
EUCA4;IGC;56114621;0.011
EVEN3;IGC;419071896;0.091
EZTC3;IGC;191512434;0.123
FESA4;IGC;40145300;0.037
FLRY3;IGC;607600860;0.326
POWE3;IGC;85728162;0.029
FRAS3;IGC;102669124;0.027
GFSA3;IGC;236416182;0.022
GSHP3;IGC;3750502;0.003
GGBR3;IGC;14031044;0.007
GGBR4;IGC;995903643;0.610
GOAU3;IGC;90953948;0.024
GOAU4;IGC;693699918;0.198
NINJ3;IGC;85795778;0.047
GOLL4;IGC;267184398;0.127
GGPS3;IGC;1334981580;0.475
GRND3;IGC;536742360;0.111
GMAT3;IGC;927904326;0.152
NTCO3;IGC;1682866150;1.974
SBFG3;IGC;177418948;0.140
SOMA3;IGC;367702842;0.121
HAPV3;IGC;2530512980;0.806
HBRE3;IGC;49080000;0.018
HBOR3;IGC;130523044;0.023
HBSA3;IGC;651247132;0.087
HYPE3;IGC;820295936;0.584
IGTA3;IGC;171593838;0.143
PARD3;IGC;87322060;0.038
MEAL3;IGC;528882064;0.044
ROMI3;IGC;74545320;0.037
IFCM3;IGC;462417690;0.228
INTB3;IGC;165600000;0.098
GNDI3;IGC;1186876160;2.083
MYPK3;IGC;282931250;0.094
RANI3;IGC;171450578;0.033
IRBR3;IGC;2510573062;0.299
ITSA3;IGC;1061351420;0.250
ITSA4;IGC;4515538171;1.041
ITUB3;IGC;384789136;0.213
ITUB4;IGC;4770095054;2.937
JALL3;IGC;195426896;0.041
JBSS3;IGC;2776051780;1.670
JHSF3;IGC;577665204;0.087
JSLG3;IGC;126798078;0.031
KLBN11;IGC;1383441507;0.753
LAVV3;IGC;186278858;0.032
LIGT3;IGC;745110648;0.235
RENT3;IGC;1187682868;1.571
LCAM3;IGC;647526154;0.367
LWSA3;IGC;855327496;0.478
LOGG3;IGC;118381182;0.078
LOGN3;IGC;200219888;0.078
LAME3;IGC;249502964;0.107
LAME4;IGC;847010651;0.378
AMAR3;IGC;222952990;0.043
LREN3;IGC;1774835828;1.622
LPSB3;IGC;229748616;0.022
MDIA3;IGC;167339564;0.113
MGLU3;IGC;5337911024;2.333
POMO3;IGC;251510290;0.017
POMO4;IGC;860129833;0.060
MRFG3;IGC;737729268;0.292
MATD3;IGC;709446386;0.246
CASH3;IGC;149086622;0.152
MELK3;IGC;152429400;0.019
BMEB3;IGC;10948799;0.005
BMEB4;IGC;14333243;0.006
LEVE3;IGC;76985038;0.053
MILS3;IGC;230973356;0.042
BEEF3;IGC;480965792;0.093
MTRE3;IGC;108078908;0.027
MBLY3;IGC;88888890;0.033
MODL3;IGC;55809000;0.009
MODL4;IGC;111591000;0.013
MODL11;IGC;76575000;0.029
MOSI3;IGC;111188920;0.042
MDNE3;IGC;114399190;0.024
MOVI3;IGC;264227880;0.108
MRVE3;IGC;587957344;0.198
MULT3;IGC;368833131;0.179
NEOE3;IGC;452196384;0.162
NGRD3;IGC;216200000;0.026
OPCT3;IGC;399919108;0.074
ODPV3;IGC;526896632;0.142
OMGE3;IGC;244499114;0.192
ORVR3;IGC;67836198;0.041
OFSA3;IGC;47165666;0.033
PCAR3;IGC;313857262;0.251
PDTC3;IGC;69787612;0.010
PGMN3;IGC;318636000;0.074
PMAM3;IGC;86807698;0.027
PETR3;IGC;5526090268;3.460
PETR4;IGC;6849685555;4.166
BRDT3;IGC;2329916252;1.285
RECV3;IGC;447335116;0.183
PRIO3;IGC;1614440830;0.650
PETZ3;IGC;523913622;0.279
PINE4;IGC;80381151;0.005
PLPL3;IGC;146809000;0.019
PSSA3;IGC;187274144;0.207
PTBL3;IGC;139993156;0.051
POSI3;IGC;157232996;0.040
PRNR3;IGC;76355100;0.016
PFRM3;IGC;174999556;0.024
QUAL3;IGC;566935578;0.339
LJQQ3;IGC;355469548;0.168
RADL3;IGC;2145290300;1.096
RAPT3;IGC;21308966;0.006
RAPT4;IGC;177421406;0.050
RDOR3;IGC;1806255180;2.577
RDNI3;IGC;30099670;0.007
RSID3;IGC;27353212;0.006
RAIL3;IGC;2436162342;0.964
SBSP3;IGC;679998222;0.514
SAPR4;IGC;305255731;0.026
SAPR11;IGC;301486851;0.127
STBP3;IGC;1715990422;0.320
SCAR3;IGC;45554704;0.040
SMTO3;IGC;286064146;0.214
SEQL3;IGC;219570458;0.128
SEER3;IGC;108692414;0.042
SIMH3;IGC;171324750;0.197
SQIA3;IGC;117404116;0.060
SLCE3;IGC;172172428;0.183
SGPS3;IGC;46817282;0.011
SULA11;IGC;426849174;0.307
SUZB3;IGC;1449842482;1.792
TAEE11;IGC;327852411;0.250
TASA3;IGC;11693211;0.006
TASA4;IGC;73326253;0.036
TECN3;IGC;129806144;0.008
TCSA3;IGC;109002492;0.019
TGMA3;IGC;64002960;0.032
TEND3;IGC;192817522;0.100
TESA3;IGC;14369458;0.015
TIMS3;IGC;1616971970;0.385
SHOW3;IGC;70227480;0.009
TOTS3;IGC;960456820;0.747
TFCO4;IGC;86304331;0.028
TRPL3;IGC;27080900;0.018
TRPL4;IGC;395797044;0.205
TRIS3;IGC;157287888;0.032
TPIS3;IGC;148123046;0.011
TUPY3;IGC;133642394;0.065
UGPA3;IGC;2171974852;0.826
UCAS3;IGC;58681276;0.006
USIM3;IGC;161021803;0.066
USIM5;IGC;513796208;0.203
VALE3;IGC;8207010444;19.210
VLID3;IGC;157164802;0.036
VAMO3;IGC;91240874;0.107
VVAR3;IGC;3191017202;1.041
VIVA3;IGC;186737452;0.127
VULC3;IGC;149370582;0.030
WEGE3;IGC;2964592004;2.064
WEST3;IGC;158877896;0.030
WIZS3;IGC;155439598;0.057
YDUQ3;IGC;600967150;0.408
RRRP3;IGC-NM;129507288;0.348
AERI3;IGC-NM;218058827;0.128
AESB3;IGC-NM;149647285;0.124
ALSO3;IGC-NM;127376805;0.219
AALR3;IGC-NM;46716473;0.033
ALLD3;IGC-NM;28506279;0.063
APER3;IGC-NM;14408593;0.042
AVLL3;IGC-NM;4667950;0.007
AMBP3;IGC-NM;43733334;0.118
ANIM3;IGC-NM;288432555;0.236
ARZZ3;IGC-NM;45095471;0.253
ASAI3;IGC-NM;156928631;0.806
BTOW3;IGC-NM;201802882;0.793
B3SA3;IGC-NM;6119434194;6.108
BBSE3;IGC-NM;671584841;0.920
BMOB3;IGC-NM;88090318;0.123
BKBR3;IGC-NM;272245759;0.193
BLAU3;IGC-NM;175299078;0.518
SOJA3;IGC-NM;40404040;0.037
BOAS3;IGC-NM;522892802;0.341
BBRK3;IGC-NM;77734448;0.012
BRML3;IGC-NM;843728684;0.508
BRPR3;IGC-NM;198812616;0.108
BBAS3;IGC-NM;1283197221;2.446
AGRO3;IGC-NM;51771532;0.092
BRFS3;IGC-NM;811759800;1.316
CXSE3;IGC-NM;450000000;0.349
CAML3;IGC-NM;116264997;0.066
CRFB3;IGC-NM;391758726;0.488
CCRO3;IGC-NM;1115693556;0.890
CEAB3;IGC-NM;106394635;0.091
HGTX3;IGC-NM;126186408;0.256
CIEL3;IGC-NM;1112196638;0.240
COGN3;IGC-NM;1847994874;0.475
CSMG3;IGC-NM;188444559;0.173
CSAN3;IGC-NM;1169237744;1.662
CPFE3;IGC-NM;187714249;0.300
CSED3;IGC-NM;77755200;0.071
CARD3;IGC-NM;18217771;0.025
CURY3;IGC-NM;104545454;0.064
CVCB3;IGC-NM;225955651;0.371
CCPR3;IGC-NM;59386986;0.042
CYRE3;IGC-NM;281154098;0.389
DMVF3;IGC-NM;23536205;0.013
DASA3;IGC-NM;51285401;0.188
DIRR3;IGC-NM;81360368;0.068
DOTZ3;IGC-NM;33724652;0.028
DTEX3;IGC-NM;273813447;0.387
